system,term,replicate_mean_kcal_per_mol,replicate_sd_kcal_per_mol,n_reps,rep_values
drugs2263,DELTA_1_4_EEL,0.0,0.0,3,0.000;-0.000;0.000
drugs2263,DELTA_EEL,111.83666666666666,203.3038672365416,3,86.380;-77.540;326.670
drugs2263,DELTA_EGB,-98.93666666666667,193.9800454514158,3,-78.300;83.900;-302.410
drugs2263,DELTA_ESURF,-3.9933333333333336,0.6254864773385062,3,-3.810;-3.480;-4.690
drugs2263,DELTA_GGAS,82.43666666666665,199.9828933517398,3,59.980;-105.370;292.700
drugs2263,DELTA_GSOLV,-102.93333333333334,194.5924161763077,3,-82.110;80.410;-307.100
drugs2263,DELTA_TOTAL,-20.493333333333336,5.471766929734246,3,-22.130;-24.960;-14.390
drugs2263,DELTA_VDWAALS,-29.396666666666665,4.016121678103559,3,-26.400;-27.830;-33.960
drugs3003,DELTA_1_4_EEL,0.0,0.0,3,-0.000;-0.000;-0.000
drugs3003,DELTA_EEL,-208.99333333333334,57.17713033489293,3,-228.610;-144.590;-253.780
drugs3003,DELTA_EGB,224.62666666666667,54.081650615835805,3,243.400;163.660;266.820
drugs3003,DELTA_ESURF,-3.89,0.4948737212663449,3,-3.640;-4.460;-3.570
drugs3003,DELTA_GGAS,-238.70333333333335,53.73114770162026,3,-257.720;-178.050;-280.340
drugs3003,DELTA_GSOLV,220.73333333333335,54.5673064511465,3,239.760;159.200;263.240
drugs3003,DELTA_TOTAL,-17.970000000000002,0.8750428560933459,3,-17.960;-18.850;-17.100
drugs3003,DELTA_VDWAALS,-29.713333333333335,3.484398561205841,3,-29.110;-33.460;-26.570
drugs3523,DELTA_1_4_EEL,0.0,0.0,3,0.000;-0.000;-0.000
drugs3523,DELTA_EEL,55.076666666666675,19.73649496068979,3,34.830;56.140;74.260
drugs3523,DELTA_EGB,-39.949999999999996,13.277831148195855,3,-25.070;-44.190;-50.590
drugs3523,DELTA_ESURF,-4.920000000000001,2.666702083098148,3,-2.930;-3.880;-7.950
drugs3523,DELTA_GGAS,12.466666666666667,6.060176015045546,3,9.820;19.400;8.180
drugs3523,DELTA_GSOLV,-44.86666666666667,15.524871443375412,3,-27.990;-48.070;-58.540
drugs3523,DELTA_TOTAL,-32.4,16.415958698778454,3,-18.170;-28.670;-50.360
drugs3523,DELTA_VDWAALS,-42.61333333333334,21.160426114172026,3,-25.010;-36.740;-66.090


